gestureName, filePath, comments, result
gesture1Left, dataOutput/General/2017-08-06 19-15-45.hand, comments t1, Yes
gesture3Left, dataOutput/General/2017-08-06 19-15-54.hand, comments t2, No
gesture1Right, dataOutput/General/2017-08-06 19-16-11.hand, comments t3, No
gesture10Left, dataOutput/General/2017-08-07 07-25-47.hand, rocksign, Yes
gesture10Left, dataOutput/General/2017-08-07 14-17-52.hand, closedFist, Yes
gesture10Left, dataOutput/General/2017-08-07 14-18-05.hand, bestTry, Yes
gesture10Left, dataOutput/General/2017-08-07 14-18-20.hand, openPalm, Yes
gesture10Left, dataOutput/General/2017-08-07 14-18-42.hand, oneFingerOff, Yes
gesture10Left, dataOutput/General/2017-08-07 14-19-30.hand, oneFingerOff2, Yes
gesture1Left, dataOutput/General/2017-08-07 14-19-49.hand, bestTry, Yes
gesture1Left, dataOutput/General/2017-08-07 14-20-10.hand, oneFingerOff, Yes
gesture1Left, dataOutput/General/2017-08-07 14-20-27.hand, curvyFinger, Yes
gesture1Left, dataOutput/General/2017-08-09 21-55-49.hand, test334, No
